name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"BM_Dijkstra/50/50",26097,26773.5,26776.9,ns,,,,,
"BM_Dijkstra/100/50",8005,87067.5,87069.8,ns,,,,,
"BM_Dijkstra/200/50",2409,297845,297841,ns,,,,,
"BM_Dijkstra/500/50",454,1.59888e+06,1.59885e+06,ns,,,,,
"BM_Dijkstra/10/75",284586,2470.14,2472.32,ns,,,,,
"BM_Dijkstra/25/75",70249,9973.81,9973.24,ns,,,,,
"BM_Dijkstra/50/75",20637,34041.2,34034.9,ns,,,,,
"BM_Dijkstra/100/75",5968,116838,116838,ns,,,,,
"BM_Dijkstra/200/75",1734,405600,405597,ns,,,,,
"BM_Dijkstra/500/75",299,2.33229e+06,2.33217e+06,ns,,,,,
"BM_Dijkstra/10/100",245612,2846.97,2848.7,ns,,,,,
"BM_Dijkstra/25/100",61863,11349.3,11348.9,ns,,,,,
"BM_Dijkstra/50/100",17292,40650.1,40646.4,ns,,,,,
"BM_Dijkstra/100/100",5062,141901,141894,ns,,,,,
"BM_Dijkstra/200/100",1000,502122,502119,ns,,,,,
"BM_Dijkstra/500/100",247,2.84706e+06,2.84696e+06,ns,,,,,
