name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"BM_InsertDense<DequeArenaTrie>/65536",67,1.05372e+07,1.05368e+07,ns,,,,,
"BM_InsertSparse<DequeArenaTrie>/256",8956,78296.9,78295.6,ns,,,,,
"BM_InsertSparse<DequeArenaTrie>/512",4481,156078,156075,ns,,,,,
"BM_InsertSparse<DequeArenaTrie>/4096",664,1.05466e+06,1.05464e+06,ns,,,,,
"BM_InsertSparse<DequeArenaTrie>/32768",90,7.71868e+06,7.71848e+06,ns,,,,,
"BM_InsertSparse<DequeArenaTrie>/65536",47,1.48364e+07,1.48356e+07,ns,,,,,
"BM_SearchHitDense<DequeArenaTrie>/256",41792,16041.1,16040.7,ns,,,,,
"BM_SearchHitDense<DequeArenaTrie>/512",21448,33090.5,33089.8,ns,,,,,
"BM_SearchHitDense<DequeArenaTrie>/4096",2775,259800,259795,ns,,,,,
"BM_SearchHitDense<DequeArenaTrie>/32768",335,2.10099e+06,2.10094e+06,ns,,,,,
"BM_SearchHitDense<DequeArenaTrie>/65536",163,4.31359e+06,4.31347e+06,ns,,,,,
"BM_SearchMiss<DequeArenaTrie>/256",96930,7068.61,7068.49,ns,,,,,
"BM_SearchMiss<DequeArenaTrie>/512",49557,14129.3,14128.8,ns,,,,,
"BM_SearchMiss<DequeArenaTrie>/4096",6195,112918,112916,ns,,,,,
"BM_SearchMiss<DequeArenaTrie>/32768",774,907412,907394,ns,,,,,
"BM_SearchMiss<DequeArenaTrie>/65536",388,1.82365e+06,1.82359e+06,ns,,,,,
"BM_InsertDense<PtrTrie>/256",2606,267688,267680,ns,,,,,
"BM_InsertDense<PtrTrie>/512",1359,515554,515548,ns,,,,,
"BM_InsertDense<PtrTrie>/4096",228,3.04616e+06,3.04613e+06,ns,,,,,
"BM_InsertDense<PtrTrie>/32768",38,1.8191e+07,1.81906e+07,ns,,,,,
"BM_InsertDense<PtrTrie>/65536",18,3.98431e+07,3.98418e+07,ns,,,,,
"BM_InsertSparse<PtrTrie>/256",2316,302575,302570,ns,,,,,
"BM_InsertSparse<PtrTrie>/512",1149,605028,605017,ns,,,,,
"BM_InsertSparse<PtrTrie>/4096",168,4.19006e+06,4.18997e+06,ns,,,,,
"BM_InsertSparse<PtrTrie>/32768",24,2.97325e+07,2.97314e+07,ns,,,,,
"BM_InsertSparse<PtrTrie>/65536",12,6.03371e+07,6.03352e+07,ns,,,,,
"BM_SearchHitDense<PtrTrie>/256",34293,20667.5,20667.1,ns,,,,,
"BM_SearchHitDense<PtrTrie>/512",16884,41779.7,41778.9,ns,,,,,
"BM_SearchHitDense<PtrTrie>/4096",2131,335048,335042,ns,,,,,
"BM_SearchHitDense<PtrTrie>/32768",250,2.69256e+06,2.69254e+06,ns,,,,,
"BM_SearchHitDense<PtrTrie>/65536",97,6.498e+06,6.49782e+06,ns,,,,,
"BM_SearchMiss<PtrTrie>/256",91454,7500.16,7498.76,ns,,,,,
"BM_SearchMiss<PtrTrie>/512",47336,15064.4,15064,ns,,,,,
"BM_SearchMiss<PtrTrie>/4096",5922,119136,119132,ns,,,,,
"BM_SearchMiss<PtrTrie>/32768",733,953180,953161,ns,,,,,
"BM_SearchMiss<PtrTrie>/65536",364,1.90604e+06,1.90599e+06,ns,,,,,
"BM_GetWordsWithPrefix<IndexArenaSentinel>/256",731919,958.152,958.132,ns,,,,,
"BM_GetWordsWithPrefix<IndexArenaSentinel>/512",731185,959.003,958.968,ns,,,,,
"BM_GetWordsWithPrefix<IndexArenaSentinel>/4096",184655,3782.48,3782.41,ns,,,,,
"BM_GetWordsWithPrefix<IndexArenaSentinel>/32768",43081,16243.3,16243.1,ns,,,,,
"BM_GetWordsWithPrefix<IndexArenaSentinel>/65536",23840,29292.4,29291.8,ns,,,,,
"BM_GetWordsWithPrefix<IndexArenaZeroNull>/256",727636,962.736,962.715,ns,,,,,
"BM_GetWordsWithPrefix<IndexArenaZeroNull>/512",726646,962.953,962.926,ns,,,,,
"BM_GetWordsWithPrefix<IndexArenaZeroNull>/4096",184741,3781.32,3781.23,ns,,,,,
"BM_GetWordsWithPrefix<IndexArenaZeroNull>/32768",43160,16240,16239.5,ns,,,,,
"BM_GetWordsWithPrefix<IndexArenaZeroNull>/65536",23932,29308.9,29308.4,ns,,,,,
"BM_GetWordsWithPrefix<DequeArenaTrie>/256",796305,873.168,873.152,ns,,,,,
"BM_GetWordsWithPrefix<DequeArenaTrie>/512",804940,876.081,876.072,ns,,,,,
"BM_GetWordsWithPrefix<DequeArenaTrie>/4096",207254,3323.9,3323.83,ns,,,,,
"BM_GetWordsWithPrefix<DequeArenaTrie>/32768",48065,14216.1,14215.8,ns,,,,,
"BM_GetWordsWithPrefix<DequeArenaTrie>/65536",26862,26048.5,26048,ns,,,,,
"BM_GetWordsWithPrefix<DataOrientedIndexArenaTrie>/256",701705,994.939,994.932,ns,,,,,
"BM_GetWordsWithPrefix<DataOrientedIndexArenaTrie>/512",704119,993.195,993.177,ns,,,,,
"BM_GetWordsWithPrefix<DataOrientedIndexArenaTrie>/4096",179332,3903.25,3903.17,ns,,,,,
"BM_GetWordsWithPrefix<DataOrientedIndexArenaTrie>/32768",41364,16943.2,16942.9,ns,,,,,
"BM_GetWordsWithPrefix<DataOrientedIndexArenaTrie>/65536",22995,30483.6,30482.9,ns,,,,,
"BM_GetWordsWithPrefix<PtrTrie>/256",757814,919.864,919.847,ns,,,,,
"BM_GetWordsWithPrefix<PtrTrie>/512",761507,919.71,919.691,ns,,,,,
"BM_GetWordsWithPrefix<PtrTrie>/4096",193131,3607.16,3607.06,ns,,,,,
"BM_GetWordsWithPrefix<PtrTrie>/32768",45967,15269.2,15268.7,ns,,,,,
"BM_GetWordsWithPrefix<PtrTrie>/65536",25437,27460.1,27459.5,ns,,,,,
