name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"BM_InsertSparse<DequeArenaTrie>/256",53799,12995.4,12995.1,ns,,,,,
"BM_InsertSparse<DequeArenaTrie>/512",25282,27587.8,27587.3,ns,,,,,
"BM_InsertSparse<DequeArenaTrie>/4096",3694,189768,189764,ns,,,,,
"BM_InsertSparse<DequeArenaTrie>/32768",481,1.49487e+06,1.49484e+06,ns,,,,,
"BM_InsertSparse<DequeArenaTrie>/65536",251,2.83138e+06,2.83129e+06,ns,,,,,
"BM_SearchHitDense<DequeArenaTrie>/256",510807,1229.63,1229.59,ns,,,,,
"BM_SearchHitDense<DequeArenaTrie>/512",253653,2696.04,2695.99,ns,,,,,
"BM_SearchHitDense<DequeArenaTrie>/4096",34386,20706.6,20706.2,ns,,,,,
"BM_SearchHitDense<DequeArenaTrie>/32768",3080,218527,218521,ns,,,,,
"BM_SearchHitDense<DequeArenaTrie>/65536",763,930402,930374,ns,,,,,
"BM_SearchMiss<DequeArenaTrie>/256",6514901,107.946,107.945,ns,,,,,
"BM_SearchMiss<DequeArenaTrie>/512",3339042,210.095,210.091,ns,,,,,
"BM_SearchMiss<DequeArenaTrie>/4096",421314,1658.41,1658.38,ns,,,,,
"BM_SearchMiss<DequeArenaTrie>/32768",53821,13210.3,13210.1,ns,,,,,
"BM_SearchMiss<DequeArenaTrie>/65536",26299,26422.3,26421.8,ns,,,,,
"BM_InsertDense<PtrTrie>/256",15989,44228.6,44227.3,ns,,,,,
"BM_InsertDense<PtrTrie>/512",8304,83157.2,83155.5,ns,,,,,
"BM_InsertDense<PtrTrie>/4096",1292,543521,543512,ns,,,,,
"BM_InsertDense<PtrTrie>/32768",219,3.27787e+06,3.27778e+06,ns,,,,,
"BM_InsertDense<PtrTrie>/65536",60,1.14789e+07,1.14787e+07,ns,,,,,
"BM_InsertSparse<PtrTrie>/256",13962,49659.2,49657.6,ns,,,,,
"BM_InsertSparse<PtrTrie>/512",6899,100823,100822,ns,,,,,
"BM_InsertSparse<PtrTrie>/4096",1039,671545,671530,ns,,,,,
"BM_InsertSparse<PtrTrie>/32768",103,7.23015e+06,7.22991e+06,ns,,,,,
"BM_InsertSparse<PtrTrie>/65536",36,1.94219e+07,1.94208e+07,ns,,,,,
"BM_SearchHitDense<PtrTrie>/256",624900,1071.66,1071.63,ns,,,,,
"BM_SearchHitDense<PtrTrie>/512",339047,2193.69,2193.65,ns,,,,,
"BM_SearchHitDense<PtrTrie>/4096",35794,17970.7,17970.5,ns,,,,,
"BM_SearchHitDense<PtrTrie>/32768",3466,196710,196705,ns,,,,,
"BM_SearchHitDense<PtrTrie>/65536",802,877856,877830,ns,,,,,
"BM_SearchMiss<PtrTrie>/256",9133850,76.5528,76.551,ns,,,,,
"BM_SearchMiss<PtrTrie>/512",4848921,144.914,144.91,ns,,,,,
"BM_SearchMiss<PtrTrie>/4096",647818,1077.09,1077.07,ns,,,,,
"BM_SearchMiss<PtrTrie>/32768",83857,8621.93,8621.67,ns,,,,,
"BM_SearchMiss<PtrTrie>/65536",39785,17098.2,17097.8,ns,,,,,
"BM_GetWordsWithPrefix<IndexArenaSentinel>/256",9298001,74.5952,74.5908,ns,,,,,
"BM_GetWordsWithPrefix<IndexArenaSentinel>/512",9441597,74.7634,74.761,ns,,,,,
"BM_GetWordsWithPrefix<IndexArenaSentinel>/4096",2146225,325.117,325.111,ns,,,,,
"BM_GetWordsWithPrefix<IndexArenaSentinel>/32768",556350,1262.85,1262.83,ns,,,,,
"BM_GetWordsWithPrefix<IndexArenaSentinel>/65536",311270,2196.59,2196.55,ns,,,,,
"BM_GetWordsWithPrefix<IndexArenaZeroNull>/256",6948305,100.378,100.373,ns,,,,,
"BM_GetWordsWithPrefix<IndexArenaZeroNull>/512",6931036,99.7137,99.7114,ns,,,,,
"BM_GetWordsWithPrefix<IndexArenaZeroNull>/4096",1651800,421.988,421.975,ns,,,,,
"BM_GetWordsWithPrefix<IndexArenaZeroNull>/32768",389746,1766.45,1766.41,ns,,,,,
"BM_GetWordsWithPrefix<IndexArenaZeroNull>/65536",224478,3079.64,3079.58,ns,,,,,
"BM_GetWordsWithPrefix<DequeArenaTrie>/256",9461122,73.7456,73.7433,ns,,,,,
"BM_GetWordsWithPrefix<DequeArenaTrie>/512",9498480,73.5507,73.549,ns,,,,,
"BM_GetWordsWithPrefix<DequeArenaTrie>/4096",2209722,318.652,318.646,ns,,,,,
"BM_GetWordsWithPrefix<DequeArenaTrie>/32768",559754,1250.07,1250.06,ns,,,,,
"BM_GetWordsWithPrefix<DequeArenaTrie>/65536",333938,2108.3,2108.25,ns,,,,,
"BM_GetWordsWithPrefix<DataOrientedIndexArenaTrie>/256",9198907,76.0899,76.0884,ns,,,,,
"BM_GetWordsWithPrefix<DataOrientedIndexArenaTrie>/512",9252895,76.3272,76.3256,ns,,,,,
"BM_GetWordsWithPrefix<DataOrientedIndexArenaTrie>/4096",2130366,325.429,325.423,ns,,,,,
"BM_GetWordsWithPrefix<DataOrientedIndexArenaTrie>/32768",549338,1290.35,1290.31,ns,,,,,
"BM_GetWordsWithPrefix<DataOrientedIndexArenaTrie>/65536",321363,2153.48,2153.41,ns,,,,,
"BM_GetWordsWithPrefix<PtrTrie>/256",9524328,73.9437,73.9419,ns,,,,,
"BM_GetWordsWithPrefix<PtrTrie>/512",9284066,73.8266,73.8251,ns,,,,,
"BM_GetWordsWithPrefix<PtrTrie>/4096",2236708,314.012,314.005,ns,,,,,
"BM_GetWordsWithPrefix<PtrTrie>/32768",554675,1256.73,1256.71,ns,,,,,
"BM_GetWordsWithPrefix<PtrTrie>/65536",331840,2110.02,2109.99,ns,,,,,
